marka,model,ostecenje,snaga,registrovan,kilometraza,kubikaza,gorivo,mjenjac,god,cena
Volkswagen,Arteon,Bez oštećenja,150,Da,172000,1986,Dizel,Automatski,2020,27700
Fiat,Bravo,Bez oštećenja,104,Da,208483,1568,Dizel,Manuelni,2013,4850
Audi,TT,Bez oštećenja,184,Ne,27500,1968,Dizel,Manuelni,2016,28990
Audi,R8,Bez oštećenja,570,Ne,200,5204,Benzin,Automatski,2024,230000
Mercedes Benz,E 200,Bez oštećenja,149,Da,226000,1950,Dizel,Automatski,2017,25700
Audi,A6,Bez oštećenja,176,Da,240000,2000,Dizel,Automatski,2012,18499
Audi,A6 Allroad,Bez oštećenja,244,Da,223000,3000,Dizel,Automatski,2014,18300
Mercedes Benz,A 180,Bez oštećenja,116,Da,194000,1500,Dizel,Automatski,2018,17500
Volkswagen,Golf 7,Bez oštećenja,104,Da,232000,1600,Dizel,Manuelni,2014,8498
Volkswagen,Golf 7.5,Bez oštećenja,116,Ne,205000,1600,Dizel,Manuelni,2017,13300
Citroen,C3,Bez oštećenja,102,Ne,168000,1499,Dizel,Manuelni,2019,9300
BMW,X2,Bez oštećenja,150,Ne,139000,1995,Dizel,Automatski,2019,22500
BMW,316,Bez oštećenja,122,Ne,153000,1995,Dizel,Automatski,2020,22900
BMW,X1,Bez oštećenja,116,Ne,137000,1496,Dizel,Automatski,2019,20300
Citroen,C5 Aircross,Bez oštećenja,131,Ne,154000,1499,Dizel,Automatski,2019,14950
Citroen,C4 Cactus,Bez oštećenja,114,Da,171000,1600,Dizel,Automatski,2014,8850
Citroen,C4 Cactus,Bez oštećenja,114,Da,171000,1600,Dizel,Automatski,2014,8850
Peugeot,2008,Bez oštećenja,131,Da,171000,1500,Dizel,Automatski,2020,16900
Audi,A6,Bez oštećenja,204,Ne,10150,1998,Hibrid dizel,Automatski,2023,64950
Volkswagen,Tiguan,Bez oštećenja,149,Da,195000,1960,Dizel,Manuelni,2019,18400
BMW,218 Active Tourer,Bez oštećenja,150,Da,251000,1995,Dizel,Tiptronik,2015,12900
BMW,118,Bez oštećenja,150,Ne,174768,2000,Dizel,Automatski,2020,18980
Opel,Mokka,Bez oštećenja,110,Ne,183246,1600,Dizel,Manuelni,2017,12980
Audi,Q3,Bez oštećenja,190,Ne,157787,2000,Dizel,Automatski,2019,26980
Mazda,3,Bez oštećenja,149,Ne,292000,2200,Dizel,Manuelni,2014,8900
Volvo,XC 40,Bez oštećenja,150,Ne,165511,2000,Dizel,Automatski,2020,24980
Audi,A8,Bez oštećenja,250,Ne,232340,2967,Dizel,Automatski,2010,29000
Citroen,C4,Bez oštećenja,119,Da,188200,1560,Dizel,Automatski,2015,8000
Citroen,Berlingo,Bez oštećenja,89,Da,279467,2000,Dizel,Manuelni,2005,2499
Volkswagen,Passat,Bez oštećenja,104,Da,271580,1600,Dizel,Manuelni,2012,5400
Renault,Scenic,Bez oštećenja,120,Ne,160000,1800,Dizel,Automatski,2019,13850
Nissan,Juke,Bez oštećenja,110,Ne,191116,1468,Dizel,Manuelni,2014,8500
Porsche,Macan,Bez oštećenja,258,Da,226000,3000,Dizel,Automatski,2014,29900
Citroen,C4,Bez oštećenja,89,Da,246000,1560,Dizel,Manuelni,2009,2400
Audi,Q7,Bez oštećenja,286,Da,140000,2967,Hibrid dizel,Automatski,2020,58000
Renault,Koleos,Bez oštećenja,176,Da,148597,1955,Dizel,Automatski,2018,19980
BMW,X2,Bez oštećenja,220,Ne,47800,1498,Hibrid benzin,Automatski,2021,33000
Volkswagen,Golf 7,Bez oštećenja,84,Da,234000,1600,Dizel,Manuelni,2019,13300
Opel,Astra,Bez oštećenja,116,Da,118000,1598,Benzin,Manuelni,2016,8000
Kia,Sportage,Bez oštećenja,116,Da,205000,1700,Dizel,Manuelni,2014,10500
Ford,Kuga,Bez oštećenja,150,Da,187000,1997,Dizel,Manuelni,2015,12700
Citroen,C4 Picasso,Bez oštećenja,114,Da,231000,1600,Dizel,Automatski,2014,7650
Citroen,C5 Aircross,Bez oštećenja,130,Da,177000,1500,Dizel,Automatski,2019,14750
Renault,Espace,Bez oštećenja,159,Da,190000,2000,Dizel,Automatski,2021,19800
Renault,Scenic,Bez oštećenja,119,Da,172000,1750,Dizel,Automatski,2020,13900
Citroen,Berlingo,Bez oštećenja,74,Da,197000,1600,Dizel,Manuelni,2017,7900
Škoda,Kodiaq,Bez oštećenja,190,Da,227000,1986,Dizel,Automatski,2019,27490
Renault,Kadjar,Bez oštećenja,115,Da,123000,1500,Dizel,Automatski,2020,16300
Škoda,Roomster,Bez oštećenja,90,Ne,170954,1598,Dizel,Manuelni,2010,5850
BMW,X1,Bez oštećenja,143,Ne,190309,1995,Dizel,Manuelni,2014,11350
BMW,116,Bez oštećenja,116,Ne,179979,1995,Dizel,Manuelni,2012,9100
Peugeot,508,Bez oštećenja,112,Ne,262000,1600,Dizel,Manuelni,2012,6199
Audi,A4,Bez oštećenja,136,Da,217000,2000,Hibrid dizel,Automatski,2019,26999
Audi,A7,Bez oštećenja,245,Ne,259000,3000,Dizel,Automatski,2013,16000
Audi,Q7,Bez oštećenja,272,Da,157000,3000,Dizel,Automatski,2015,45000
Audi,A6,Bez oštećenja,204,Da,250000,2000,Dizel,Automatski,2019,36500
BMW,318,Bez oštećenja,143,Da,167800,1995,Dizel,Automatski,2013,16300
Audi,A6,Bez oštećenja,272,Da,239000,3000,Dizel,Automatski,2015,22500
Peugeot,107,Bez oštećenja,67,Da,187000,999,Benzin,Manuelni,2007,3100
Volkswagen,Tiguan,Bez oštećenja,140,Da,249000,1968,Dizel,Automatski,2011,11000
Opel,Insignia,Bez oštećenja,161,Da,280000,1956,Dizel,Automatski,2011,5800
Volkswagen,Passat,Bez oštećenja,149,Da,265000,1968,Dizel,Manuelni,2016,15950
Volkswagen,Golf 6,Bez oštećenja,105,Ne,240000,1598,Dizel,Manuelni,2011,9500
Volkswagen,Golf 7.5,Bez oštećenja,116,Da,214000,1600,Dizel,Automatski,2017,14000
Audi,A6 Allroad,Bez oštećenja,231,Da,230000,2967,Hibrid dizel,Automatski,2020,40500
Mini,Cooper S,Bez oštećenja,184,Da,168000,1600,Benzin,Automatski,2013,12500
Lancia,Delta,Bez oštećenja,115,Da,248000,1600,Dizel,Manuelni,2009,5200
BMW,120,Bez oštećenja,183,Ne,269445,2000,Dizel,Manuelni,2013,11700
Citroen,C4 Picasso,Bez oštećenja,108,Da,183000,1600,Dizel,Automatski,2008,3800
Audi,S8,Bez oštećenja,571,Ne,0,3996,Benzin,Automatski,2025,165800
Audi,SQ7,Bez oštećenja,507,Ne,0,3996,Benzin,Automatski,2025,163195
Volkswagen,Golf 7.5,Bez oštećenja,116,Ne,180600,1600,Dizel,Manuelni,2017,13200
Volkswagen,Passat,Bez oštećenja,190,Da,132000,2000,Dizel,Automatski,2015,19800
Audi,Q7,Bez oštećenja,272,Da,260000,3000,Dizel,Automatski,2018,48500
Ford,Ranger,Bez oštećenja,170,Da,110000,2000,Dizel,Automatski,2019,27000
Volvo,XC 90,Bez oštećenja,235,Da,145000,1969,Dizel,Automatski,2017,43000
Citroen,C3,Bez oštećenja,92,Da,219000,1600,Dizel,Manuelni,2011,5100
Jaguar,F-Pace,Bez oštećenja,300,Ne,176000,3000,Dizel,Automatski,2016,33000
Citroen,C4 Cactus,Bez oštećenja,99,Ne,197000,1560,Dizel,Manuelni,2016,8000
